sender,receiver,number_of_characters,contains_urgent,contains_important,urgency_classification,send_date,send_time,claim_type,initial_priority,number_of_attachments,message_language
Engineer,Consultant,100,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,logistical,medium,0,Spanish
Architect,Architect,43,False,False,not urgent and not important,2002-09-02,2002-09-02 09:52:59,administrative,low,0,English
Electrician,Architect,134,False,False,not urgent and not important,2017-06-02,2017-06-02 07:43:28,technical,low,0,English
electrician,architect,80,False,False,not urgent and not important,2020-05-23,2020-05-23 17:05:03,technical,low,0,English
Architect,Electrician,125,False,False,not urgent and not important,2015-07-02,2015-07-02 00:14:07,technical,low,0,Spanish
Owner,Subcontractor,151,False,False,not urgent and not important,2018-07-26,2018-07-26 04:26:57,logistical,high,1,Spanish
Subcontractor,Subcontractor,368,True,True,urgent and important,2019-12-03,2019-12-03 00:00:00,technical,medium,0,English
electrician,architect,49,False,False,not urgent and not important,2020-01-02,2020-01-02 14:28:10,technical,low,0,English
Contractor,Architect,190,False,True,not urgent and important,2019-09-05,2019-09-04 20:33:24,technical,medium,0,Spanish
Electrician,Architect,113,False,False,not urgent and not important,2019-03-19,2019-03-19 11:48:54,technical,low,0,Spanish
Architect,Project Manager,57,False,False,not urgent and not important,1995-05-16,1995-05-16 08:39:44,financial,low,0,English
Architect,Electrician,24,False,False,not urgent and not important,2022-12-07,2022-12-07 06:05:23,technical,high,0,English
Electrician,Architect,42,False,False,not urgent and not important,1998-05-29,1998-05-29 15:33:28,technical,low,0,English
Electrical,Architect,110,False,False,not urgent and not important,2015-12-10,2015-12-09 16:49:33,technical,high,0,English
architect,electrician,13,False,False,not urgent and not important,1996-04-29,1996-04-29 15:11:55,technical,medium,0,English
Architect,Electrician,334,True,False,urgent and not important,2016-04-29,2016-04-29 05:29:22,technical,low,0,English
Electrician,Electrician,17,False,False,not urgent and not important,2018-06-26,2018-06-26 15:21:52,technical,low,0,Spanish
Architect,Architect,12,False,False,not urgent and not important,1998-01-01,1998-01-01 11:58:07,technical,medium,0,German
ELECTRICIAN,INSTRUCTIONS,207,False,False,not urgent and not important,2018-05-16,2018-05-16 19:40:00,technical,medium,0,English
Architect,Architect,122,False,False,not urgent and not important,2018-10-29,2018-10-29 22:40:47,financial,high,0,English
Contractor,Architect,172,False,False,not urgent and not important,1995-08-09,1995-08-09 14:55:09,technical,high,0,English
Contractor,Contractor,124,False,False,not urgent and not important,2010-07-19,2010-07-19 16:07:33,technical,medium,0,Spanish
Inspector,Electrician,264,False,True,not urgent and important,1952-09-19,1952-09-19 12:08:28,technical,medium,0,English
architect,architect,119,False,False,not urgent and not important,2018-12-21,2018-12-21 11:30:08,technical,low,1,English
Architect,Architect,90,False,True,not urgent and important,2022-10-03,2022-10-03 12:24:08,technical,medium,0,Spanish
Architect,Subcontractor,132,False,False,not urgent and not important,1970-01-19,1970-01-19 04:40:11,financial,medium,0,Spanish
Architect,Electrician,180,False,False,not urgent and not important,2015-08-09,2015-08-09 11:55:41,technical,low,0,English
electrician,architect,2,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,medium,1,English
Superintendent,Project Manager,39,False,False,not urgent and not important,1951-04-10,1951-04-10 14:08:11,administrative,medium,0,Spanish
Superintendent,Project Manager,64,False,False,not urgent and not important,2010-12-20,2010-12-20 16:54:25,logistical,medium,0,English
Architect,Engineer,138,False,False,not urgent and not important,2016-08-12,2016-08-12 12:18:48,technical,low,0,English
Construction Manager,Construction Manager,106,True,False,urgent and not important,1997-01-29,1997-01-29 10:22:42,administrative,high,0,English
Architect,Electrician,327,False,False,not urgent and not important,2019-03-06,2022-08-03 22:26:55,technical,high,0,English
Electrician,Electrician,16,False,False,not urgent and not important,1998-09-21,2019-02-12 16:34:04,technical,medium,0,German
Electrician,Owner,154,False,False,not urgent and not important,2022-01-06,2022-01-06 10:36:24,logistical,high,0,English
electrician,electrician,117,False,False,urgent and not important,2019-03-04,2019-03-03 19:39:35,technical,medium,0,English
Contractor,Architect,14,False,False,not urgent and not important,2019-05-16,2019-05-16 08:58:30,logistical,medium,0,English
electrician,architect,53,False,False,not urgent and not important,1987-02-02,1987-02-02 16:09:54,technical,low,0,English
Electrician,Electrician,85,False,False,not urgent and not important,2017-10-01,2017-10-01 09:17:24,logistical,high,0,English
Architect,Contractor,284,False,True,not urgent and important,2016-02-19,2016-02-19 12:04:01,technical,medium,0,English
Electrician,Architect,111,False,False,not urgent and not important,2017-10-11,2017-10-11 13:37:11,technical,low,0,English
Architect,Contractor,220,False,False,not urgent and not important,2019-02-03,2019-02-03 09:02:02,technical,high,3,Spanish
electrician,architect,162,False,False,not urgent and not important,1990-04-10,1990-04-10 13:23:55,logistical,medium,1,English
Electrician,Architect,136,False,False,not urgent and not important,1992-06-23,1992-06-23 10:19:46,technical,high,0,English
Architect,Architect,431,False,False,not urgent and not important,1996-07-24,1996-07-24 00:00:00,logistical,low,1,English
Electrician,Architect,5,False,False,not urgent and not important,2019-04-11,2019-04-11 16:03:59,administrative,medium,0,English
Architect,Architect,214,False,False,not urgent and not important,1993-04-10,1993-04-10 06:29:31,financial,low,0,English
Client,Subcontractor,239,False,False,not urgent and not important,1998-04-23,1998-04-23 14:07:54,logistical,medium,0,English
Architect,Electrician,57,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,low,0,English
Sub,Arch,39,False,False,not urgent and important,1992-08-21,1992-08-21 00:26:51,administrative,medium,0,English
architect,electrician,10,False,False,not urgent and not important,2022-04-20,2022-04-20 06:25:44,logistical,low,0,English
Architect,Inspector,55,False,False,not urgent and not important,2021-11-24,2021-11-24 00:22:32,technical,low,0,English
Architect,Electrician,320,False,False,not urgent and not important,2014-12-23,2014-12-23 19:55:26,technical,low,0,Spanish
Architect,Architect,155,False,False,not urgent and not important,2012-05-09,2012-05-09 08:02:28,technical,medium,0,English
Architect,Architect,992,False,True,not urgent and important,1998-07-02,1998-07-02 00:00:06,technical,medium,0,English
Architect,Contractor,178,False,False,not urgent and not important,2022-03-23,2022-03-23 09:54:16,technical,medium,0,English
Architect,Construction manager,122,False,True,not urgent and important,1999-06-22,1999-06-22 14:32:27,technical,low,0,English
Electrical Engineer,Electrician,301,False,False,not urgent and not important,1991-02-25,1991-02-25 15:13:04,technical,medium,0,German
Engineer,Architect,73,False,False,not urgent and not important,2021-07-30,2021-07-30 08:08:44,technical,low,0,English
Electrician,Electrician,162,False,True,not urgent and important,1981-05-18,1981-05-18 10:55:14,technical,low,0,English
Architect,Electrician,129,False,False,not urgent and not important,2022-11-17,2022-11-17 09:41:53,technical,high,0,Spanish
Architect,Architect,269,False,False,not urgent and not important,2015-07-23,2015-07-23 09:04:37,technical,medium,0,English
Contractor,Project Manager,131,False,False,urgent and important,2020-08-13,2020-08-13 16:38:10,logistical,medium,0,Spanish
architect,architect,176,False,False,not urgent and not important,2016-10-26,2016-10-26 08:28:53,technical,medium,0,English
Architect,Electrician,32,False,False,not urgent and not important,1990-01-08,1990-01-08 09:58:28,technical,low,0,German
architect,electrician,41,False,False,not urgent and not important,1999-02-24,1999-02-24 17:59:53,logistical,high,0,English
Electrician,Electrician,163,False,False,not urgent and not important,2018-06-05,2018-06-05 01:56:27,administrative,low,0,English
Electrician,Architect,150,False,False,not urgent and not important,1999-03-23,1999-03-23 15:51:12,logistical,low,0,English
Consultant,Electrician,44,False,False,not urgent and not important,1991-09-17,1991-09-17 10:55:35,administrative,low,0,Spanish
Architect,Electrician,18,False,False,not urgent and not important,1999-09-14,1999-09-14 00:00:00,technical,medium,0,English
Miscellaneous Supplier,Subcontractor,254,False,False,not urgent and not important,2020-07-17,2019-04-21 13:31:44,administrative,high,0,English
Subcontractor,Subcontractor,294,False,False,not urgent and not important,1953-03-25,1953-03-25 06:33:45,technical,low,0,English
Architect,Electrician,91,False,False,not urgent and not important,2020-07-18,2020-07-18 07:58:23,technical,medium,0,Spanish
Contractor,Contractor,181,True,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,high,2,English
electrician,owner,111,False,False,not urgent and not important,1997-03-12,1997-03-12 14:27:09,financial,medium,0,English
Contractor,Engineer,133,False,False,not urgent and not important,2020-09-14,2020-09-14 15:59:24,technical,medium,0,English
Contractor,Architect,76,False,False,not urgent and not important,2022-04-14,2022-04-14 09:04:57,technical,high,0,English
Owner,General Contractor,305,False,False,not urgent and not important,2020-11-12,2020-11-12 07:25:56,administrative,medium,0,English
Insurance,Insurer,223,False,False,not urgent and not important,2010-04-06,2010-04-06 12:20:25,logistical,high,1,English
Subcontractor,General Contractor,99,False,False,not urgent and not important,1999-01-02,1999-01-02 15:57:44,technical,low,0,English
Contractor,Contractor,315,False,False,not urgent and not important,1963-01-01,2023-01-28 13:56:00,logistical,low,0,Spanish
Electrician,Electrician,218,False,False,not urgent and not important,2015-07-16,2015-07-15 15:31:37,technical,medium,0,Spanish
Landscape Contractor,Site Contractor,261,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,logistical,low,0,Spanish
"The role of the person sending the message, e.g., architect, electrician, etc.",PM,57,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,technical,medium,0,German
Architect,Electrician,114,True,True,urgent and important,2022-09-07,2022-09-06 19:57:38,technical,high,0,English
architect,architect,39,False,True,not urgent and important,1986-02-22,1986-02-22 14:55:54,technical,medium,1,English
Supervisor,Architect,61,False,True,not urgent and important,2019-08-06,2019-08-06 00:00:00,technical,medium,0,Spanish
Architect,Electrician,134,False,False,not urgent and not important,2022-04-27,2022-04-27 16:02:01,technical,high,0,English
Electrician,Architect,87,False,False,not urgent and not important,2013-10-28,2013-10-28 10:04:34,technical,low,0,English
architect,electrician,116,False,False,not urgent and important,1999-09-28,1999-09-28 14:16:08,technical,high,0,Spanish
Architect,Electrician,94,False,False,not urgent and not important,2018-02-21,2018-02-21 05:24:26,technical,medium,1,English
trade,electrician,90,False,False,not urgent and not important,2021-01-14,2021-01-14 11:52:42,technical,medium,0,English
Supplier,Consultant,30,False,False,not urgent and not important,1999-06-17,1999-06-17 14:30:00,technical,low,0,English
Electrician,Architect,73,False,False,not urgent and not important,1991-12-26,1991-12-26 13:27:37,technical,medium,0,Spanish
Architect,Subcontractor,179,False,False,not urgent and not important,1941-09-07,1941-09-07 04:27:09,administrative,medium,0,English
Contractor,Superintendent,307,False,False,not urgent and not important,1968-06-11,1968-06-11 13:50:43,logistical,low,0,French
Architect,Owner,232,False,False,not urgent and not important,2016-06-04,2016-06-03 11:28:32,logistical,medium,1,English
Subcontractor,Subcontractor,19,False,False,not urgent and not important,1999-05-25,1999-05-25 11:22:57,technical,low,0,English
Architect,Architect,112,False,False,not urgent and not important,2020-08-17,2020-08-17 09:53:31,logistical,medium,0,Spanish
Electrician,Architect,211,False,False,not urgent and not important,1993-05-08,1993-05-08 11:40:33,technical,low,0,English
Architect,Architect,135,False,False,not urgent and not important,1919-11-25,1919-11-25 10:54:15,logistical,low,0,English
Electrician,Electrician,11,False,False,not urgent and not important,1970-01-01,1970-01-01 00:00:00,logistical,low,0,English
Engineer,Contractor,100,False,False,not urgent and not important,2018-01-01,2018-01-01 20:55:55,technical,medium,0,English
Electrician,Architect,117,True,False,not urgent and not important,2016-03-22,2016-03-22 08:34:58,technical,low,0,French
electrician,electrician,44,False,False,not urgent and not important,2014-12-12,2014-12-12 21:43:28,technical,medium,0,English
Contractor,Architect,107,False,False,not urgent and important,2019-10-17,2019-10-17 11:55:04,technical,low,0,English
Architect,Construction Manager,113,False,False,not urgent and important,2022-11-25,2022-11-25 07:36:31,technical,low,0,English
Project Manager,Project Manager,149,False,False,not urgent and important,2020-04-27,2020-04-27 15:23:09,administrative,medium,0,English
Architect,Owner,12,True,False,urgent and not important,1981-06-01,1981-06-01 08:48:22,administrative,high,0,English
Architect,Electrician,246,False,False,not urgent and not important,2017-04-05,2017-04-05 04:05:02,technical,high,0,English
Architect,Contractor,127,False,False,not urgent and not important,1987-04-10,1987-04-10 15:19:58,technical,medium,1,Spanish
Project Manager,Assistant Project Manager,41,True,False,urgent and not important,1967-08-10,1967-08-10 10:15:05,logistical,high,0,German
Electrician,Electrician,422,False,False,not urgent and not important,2017-06-16,2017-06-16 15:57:00,technical,medium,0,English
Architect,Architect,118,False,False,not urgent and not important,2022-06-17,2022-06-17 15:09:59,administrative,medium,0,English
Electrician,Electrician,116,False,False,urgent and important,2019-01-09,2019-01-09 13:17:50,technical,medium,0,English
Architect,Architect,414,False,False,not urgent and not important,2020-03-03,2020-03-03 00:00:00,administrative,high,0,English
Architect,Client,229,False,False,not urgent and not important,1984-06-18,1984-06-18 23:07:56,administrative,medium,0,English
